Model,Global Structural Score,Stability,Bias Resistance,Ambiguity Tolerance,Scaling Strength
JEPA,0.9457231165615283,0.6320809221974504,1.4644134116987086,1.2390270952392217,0.8703929859481055
CLIP,0.12859230098542046,0.5607683722734479,0.044601783273682846,-1.380244487037322,0.9156293193648739
DINO,-0.13736494137760713,0.401931544611804,-1.3523958024363243,-0.4536840836588062,0.9191910541303062
ResNet,-0.2006538524776409,0.3969295986164942,-0.1566193925360643,0.5949014754569073,0.8756238400352493
VideoMAE,-0.1991710437699197,-1.991710437699197,,,
