Model,CI_Low,CI_High
JEPA,-1.0138520008236203,1.5815526331170777
CLIP,-0.9867503021978055,0.8467727577328992
DINO,-1.1104951367702118,0.8406916053495258
ResNet,-1.2830501190820547,0.7914071306617465
VideoMAE,-1.394197306389438,0.0
