Model,H1_Semantic,H2_Bias,H3_Robustness,H4_Temporal,H5_Ambiguity,H6_DataEff,H7_Scaling
JEPA,1.3261741108747283,1.4644134116987086,1.6317551565820934,0.6320809221974504,1.2390270952392217,-1.7192518249755078,0.8703929859481055
CLIP,0.4142812835176603,0.044601783273682846,-0.06859720423893335,0.5607683722734479,-1.380244487037322,0.6861074472582922,0.9156293193648739
DINO,-0.34342566804397023,-1.3523958024363243,-0.5460602502159494,0.401931544611804,-0.4536840836588062,0.6575262248610387,0.9191910541303062
ResNet,-1.3970297263484182,-0.1566193925360643,-1.017097702127207,0.3969295986164942,0.5949014754569073,0.37561815285617683,0.8756238400352493
VideoMAE,,,,-1.991710437699197,,,
